[2017-12-04 08:08:46] [info]  [ 2596] Commons Daemon procrun (1.0.15.0 64-bit) started
[2017-12-04 08:08:47] [info]  [ 2596] Running 'Tomcat8' Service...
[2017-12-04 08:08:47] [info]  [ 2620] Starting service...
[2017-12-04 08:08:49] [info]  [ 2620] Service started in 1661 ms.
[2017-12-04 17:26:46] [info]  [ 9416] Console SHUTDOWN event signaled
[2017-12-04 17:26:46] [info]  [ 9416] Stopping service...
[2017-12-04 17:26:47] [info]  [ 9416] Service stop thread completed.
[2017-12-04 17:26:47] [info]  [ 2596] Run service finished.
[2017-12-04 17:26:47] [info]  [ 2596] Commons Daemon procrun finished
[2017-12-04 22:32:29] [info]  [ 2688] Commons Daemon procrun (1.0.15.0 64-bit) started
[2017-12-04 22:32:29] [info]  [ 2688] Running 'Tomcat8' Service...
[2017-12-04 22:32:29] [info]  [ 3040] Starting service...
[2017-12-04 22:32:31] [info]  [ 3040] Service started in 1588 ms.
[2017-12-05 01:41:00] [info]  [ 1968] Console SHUTDOWN event signaled
[2017-12-05 01:41:00] [info]  [ 1968] Stopping service...
[2017-12-05 01:41:01] [info]  [ 1968] Service stop thread completed.
[2017-12-05 01:41:01] [info]  [ 2688] Run service finished.
[2017-12-05 01:41:01] [info]  [ 2688] Commons Daemon procrun finished
